,ID,lat_dist,long_dist,speed,speed_diff
0,0.0,0.0,0.0,0.0,0.0
1,0.0,-1.4868154098680417,3.1309076001113714,3.2,1.2247097431612133
2,0.0,-1.4868154098680417,1.9061978569501594,3.2,1.2247097431612133
3,0.0,-1.4868154098680417,0.6814881137889444,3.2,1.2247097431612133
4,0.0,-1.4868154098680417,-0.5432216293722689,3.2,1.2247097431612133
5,0.0,-1.4868154098680417,-1.7679313725334822,4.2,1.2247097431612133
6,0.0,-1.4868154098680417,-1.9926411156946955,3.2,0.22470974316121328
7,0.0,-1.4868154098680417,-2.2173508588559088,3.2,0.22470974316121328
8,0.0,-1.4868154098680417,-2.442060602017122,3.2,0.22470974316121328
9,0.0,-1.4868154098680417,-2.6667703451783353,3.2,0.22470974316121328
10,0.0,-1.4868154098680417,-2.8914800883395486,3.2,0.22470974316121328
11,0.0,-1.4868154098680417,-3.064179055500759,3.147989224,0.1726989671612129
12,0.0,-1.4868154098680417,-3.135468260661966,3.0465794620000004,0.07128920516121351
13,0.0,-1.4868154098680417,-3.1065102168231746,2.946332213,-0.028958043838787084
14,0.0,-1.4868154098680417,-2.972481308984385,2.841261349,-0.13402890783878707
15,0.0,-1.4868154098680417,-2.748311400145596,2.751120348,-0.22416990883878674
16,0.0,-1.4868154098680417,-2.43841167530681,3.665390532,-0.3098997248387869
17,0.0,-1.4868154098680417,-1.8305596733068086,2.592147998,-0.607852002
18,0.0,-1.4868154098680417,-1.1835500903068095,2.552990417,-0.647009583
19,0.0,-1.4868154098680417,-0.5223173663068081,2.538767276,-0.661232724
20,0.0,-1.4868154098680417,0.1310124246931963,2.546670209,-0.653329791
21,0.0,-1.4868154098680417,0.755915638693196,2.575096786,-0.6249032140000002
22,0.0,-1.4868154098680417,1.3276677386931937,2.6282479,-0.5717521000000003
23,0.0,-1.4868154098680417,1.846904835693195,2.680762903,-0.519237097
24,0.0,-1.4868154098680417,2.318019724693201,2.728885111,-0.4711148890000003
25,0.0,-1.4868154098680417,2.7522185576931975,2.765801167,-0.4341988330000004
26,0.0,-1.4868154098680417,3.1671012876931997,2.78511727,-0.41488273
27,0.0,-1.4868154098680417,3.5741255266932086,2.792975761,-0.40702423900000007
28,0.0,-1.4868154098680417,3.996193317693212,2.777932209,-0.42206779100000036
29,0.0,-1.4868154098680417,4.44621574469322,2.749977573,-0.4500224270000004
30,0.0,-1.4868154098680417,4.923925671693226,2.722290073,-0.47770992700000026
31,0.0,-1.4868154098680417,5.434424016693228,3.689501655,-0.5104983450000002
32,0.0,-1.4868154098680417,5.977944073693237,2.656479943,-0.5435200570000003
33,0.0,-1.4868154098680417,6.5524737166932425,3.625470357,-0.574529643
34,0.0,-1.4868154098680417,7.1532730086932474,3.599200708,-0.600799292
35,0.0,-1.4868154098680417,7.783486081693255,2.569786927,-0.6302130730000002
36,0.0,-1.4868154098680417,8.452467084693254,2.531018997,-0.6689810030000003
37,0.0,-1.4868154098680417,9.150761023693263,2.501706061,-0.698293939
38,0.0,-1.4868154098680417,9.881893847693263,2.468867176,-0.7311328240000003
39,0.0,-1.4868154098680417,10.650649990693267,2.431243857,-0.7687561430000001
40,0.0,-1.4868154098680417,11.45591655969325,3.394733431,-0.805266569
41,0.0,-1.4868154098680417,12.288269145693235,2.367647414,-0.8323525860000003
42,0.0,-1.4868154098680417,13.162291123693223,2.325978022,-0.874021978
43,0.0,-1.4868154098680417,14.077733648693211,2.284557475,-0.915442525
44,0.0,-1.4868154098680417,15.0428929076932,2.234840741,-0.965159259
45,0.0,-1.4868154098680417,16.04989001169318,2.193002896,-1.0069971040000003
46,0.0,-1.4868154098680417,17.096343551693167,2.15354646,-1.0464535400000003
47,0.0,-1.4868154098680417,18.16494598769316,2.131397564,-1.0686024360000004
48,0.0,-1.4868154098680417,19.267199033693146,2.097746954,-1.102253046
49,0.0,-1.4868154098680417,20.380940407693146,3.086258626,-1.1137413740000004
50,0.0,-1.4868154098680417,21.511932668693134,2.069007739,-1.1309922610000003
51,0.0,-1.4868154098680417,22.665290848693132,2.04664182,-1.1533581800000001
52,0.0,-1.4868154098680417,23.83127540069313,2.034015448,-1.1659845520000003
53,0.0,-1.4868154098680417,25.000772404693123,2.030502996,-1.1694970040000001
54,0.0,-1.4868154098680417,26.209808248693122,1.990964156,-1.2090358440000002
55,0.0,-1.4868154098680417,27.442984775693105,2.966823473,-1.2331765270000004
56,0.0,-1.4868154098680417,28.693041381693092,1.949943394,-1.2500566060000002
57,0.0,-1.4868154098680417,29.947563191693092,2.94547819,-1.25452181
58,0.0,-1.4868154098680417,31.204970852693094,1.942592339,-1.2574076610000002
59,0.0,-1.4868154098680417,32.434986546693096,1.9699843059999997,-1.2300156940000004
60,0.0,-1.4868154098680417,33.65461295469308,2.9803735920000003,-1.2196264079999999
61,0.0,-1.4868154098680417,34.859655098693054,1.994957856,-1.205042144
62,0.0,-1.4868154098680417,36.079740211693036,1.979914887,-1.220085113
63,0.0,-1.4868154098680417,37.29122349669302,1.9885167150000003,-1.211483285
64,0.0,-1.4868154098680417,38.526910182693,2.964313314,-1.2356866860000002
65,0.0,-1.4868154098680417,39.79784726769299,1.9290629150000003,-1.270937085
66,0.0,-1.4868154098680417,41.12662302669298,1.8712242410000002,-1.328775759
67,0.0,-1.4868154098680417,42.499849814692965,1.826773212,-1.3732267880000002
68,0.0,-1.4868154098680417,43.914623524692956,2.7852262899999998,-1.4147737100000004
69,0.0,-1.4868154098680417,45.35494598469293,1.7596775400000002,-1.44032246
