PolicyExecTime,EnvExecTime,ProcessExecTime,OriginalTaskAverageReturn,IRLAverageEnergy,IRLAverageLogQtau,IRLMedianLogQtau,IRLAverageExpertEnergy,IRLAverageExpertLogQtau,IRLMedianExpertLogQtau,IRLLoss,Iteration,AverageDiscountedReturn,AverageReturn,ExplainedVariance,NumTrajs,Entropy,Perplexity,StdReturn,MaxReturn,MinReturn,AveragePolicyStd,LossBefore,LossAfter,MeanKLBefore,MeanKL,dLoss,Time,ItrTime
0.09603643417358398,0.05198073387145996,0.009029626846313477,-3546.5032001925447,5.321811,-2.848109,-2.5224583,3.9021206,-144.38802,-20.763851,0.8038516,0,-306.22868110948144,-484.28480022603816,1.028510610012745e-12,11,2.8378766,17.07946,160.41680058284368,-4.366798400878906,-598.478175163269,1.0,-0.28378766775131226,-0.31717419624328613,0.0,0.00719066709280014,0.03338652849197388,3.494001865386963,3.494001865386963
0.0549015998840332,0.05205941200256348,0.0039980411529541016,267.5533378259258,5.993257,-2.8172061,-2.472219,0.9592728,-143.93483,-20.454908,0.19409032,1,-389.7400109976094,-599.3256916284561,0.7875050856376955,10,2.8429122,17.165682,23.855889782719885,-541.0263729095459,-632.2751421928406,1.002522,-0.2842913269996643,-0.3039378225803375,0.0,0.008857252076268196,0.019646495580673218,4.8890016078948975,1.1049981117248535
0.03904318809509277,0.05995035171508789,0.007993698120117188,-8603.385676376533,7.2322164,-2.8453524,-2.5516417,-1.0668446,-143.12883,-20.702274,0.09347457,2,-463.4821174196353,-723.2216401338577,0.8296540946611752,10,2.8454297,17.208952,111.52559760489181,-492.4451467990875,-862.342122554779,1.0037842,-0.28454306721687317,-0.3105066120624542,0.0,0.007048237137496471,0.025963544845581055,6.327000141143799,1.159999132156372
0.12401866912841797,0.04900360107421875,0.006009340286254883,-2822.5651345976867,7.2901034,-2.8488126,-2.4884298,-1.8220689,-141.71698,-20.743227,0.079987995,3,-477.0827742982648,-729.0103402018547,0.6159286771955519,10,2.8462512,17.223095,114.92156180885934,-542.5257035493851,-922.2984638214111,1.004217,-0.2846250534057617,-0.3108322024345398,0.0,0.00810872483998537,0.026207149028778076,7.789999961853027,1.1580007076263428
0.09801888465881348,0.10299015045166016,0.00700068473815918,-230.38721163510075,7.8932986,-2.8439457,-2.556822,-2.587312,-142.19371,-20.535847,0.056847297,4,-523.194545629031,-789.3299180984498,0.9595057326464409,10,2.8450084,17.201702,93.78899743184476,-647.6582832336426,-929.7979969978333,1.0035828,-0.2845008373260498,-0.3087407350540161,0.0,0.00931828934699297,0.02423989772796631,9.285999059677124,1.1869995594024658
0.048017024993896484,0.04598379135131836,0.007999897003173828,-8963.137366933497,9.208768,-2.866574,-2.5540175,-4.429193,-147.11598,-21.058395,0.028272392,5,-586.3275611553347,-920.8766912460327,0.909573283972275,10,2.8352144,17.034052,75.28417456586367,-803.0241799354553,-1033.3181200027466,0.99870384,-0.2835214138031006,-0.3067171573638916,0.0,0.008107759989798069,0.023195743560791016,10.687999963760376,1.0999987125396729
0.051033735275268555,0.06996726989746094,0.005001068115234375,-4420.414896516789,8.864217,-2.9270158,-2.604783,-4.0009933,-146.04393,-21.278992,0.04395443,6,-577.1885988206728,-886.4216790437698,0.9506779857966278,10,2.8406522,17.126932,100.18945294541386,-717.8596951961517,-1045.2618608474731,1.0014073,-0.28406524658203125,-0.32422733306884766,0.0,0.0081338407471776,0.040162086486816406,12.370018482208252,1.3830146789550781
0.04290032386779785,0.05209207534790039,0.006009578704833984,-4669.431540448224,9.15401,-2.8985677,-2.5985274,-4.564304,-141.74065,-21.003672,0.028938344,7,-590.0834067361724,-915.4010190010071,0.9551721589957691,10,2.8667605,17.579975,162.1889039022461,-700.2861762046814,-1142.8836312294006,1.0145518,-0.2866760790348053,-0.30491167306900024,0.0,0.007099098991602659,0.018235594034194946,13.692998886108398,1.0889995098114014
0.03802037239074707,0.04998946189880371,0.003997087478637695,-2818.70970343958,9.236075,-2.852983,-2.5708468,-4.3711467,-141.46947,-20.615532,0.037968226,8,-597.0653660833499,-923.6075216770172,0.8728879912965121,10,2.8655503,17.558712,151.3284855335412,-618.7011168003082,-1128.5607109069824,1.0139368,-0.2865549921989441,-0.3086841106414795,0.0,0.007190464064478874,0.0221291184425354,15.085999727249146,1.070997714996338
0.03997993469238281,0.05003166198730469,0.0030090808868408203,-2621.7049492614724,9.166718,-2.7580967,-2.4672341,-4.4250083,-145.8553,-20.78426,0.041480444,9,-597.8498048869983,-916.6717554569244,0.7675839417925276,10,2.8336444,17.00733,144.5260361655991,-583.8430571556091,-1106.293390750885,0.9978928,-0.2833644151687622,-0.31228888034820557,0.0,0.008943935856223106,0.02892446517944336,16.475998640060425,1.0969982147216797
0.04598546028137207,0.05700206756591797,0.00900125503540039,-3051.8952880427105,9.1278515,-2.8087177,-2.4819844,-5.505853,-146.5354,-20.727404,0.030640919,10,-592.0978530944951,-912.7851285457612,0.9013534995137663,10,2.8208275,16.79074,115.57707602135432,-691.1662049293518,-1075.937373161316,0.99151146,-0.28208276629447937,-0.3027702271938324,0.0,0.008959885686635971,0.020687460899353027,17.90499973297119,1.10599946975708
0.03896975517272949,0.05402946472167969,0.005013465881347656,-2362.815700748943,9.526676,-2.793158,-2.429766,-5.91415,-144.56819,-20.766747,0.02228111,11,-569.7739540791218,-866.9276094870133,0.9079830603595631,11,2.8139455,16.675583,320.28585237906765,-8.076044082641602,-1214.2706928253174,0.9881693,-0.28139451146125793,-0.30298349261283875,0.0,0.008050169795751572,0.02158898115158081,19.27199935913086,1.0740001201629639
